Afford Marine Controles Pvt. Ltd.,India,B18
Aries Technical Sales & Service Pvt. Ltd.,India,B10
Bansal Marine,India,A14
Buoyancy Consultants & Engg. LLP,India,F30
H.M. Traders,India,A40
Indo Group (Indo Marine Engineering Company Pvt. Ltd.),India,B01
Mandovi Drydocks,India,E10
Parikh Power,India,J20
Ras Tek Group,India,C30
Sander Meson India Pvt. Ltd.,India,G20
Station Satcom Pvt. Ltd.,India,A20
Subhadra Metals Pvt. Ltd.,India,E29
"Synergy Shipbuilders/ Siddarth Engineering & Shipbuilding Co., Pvt. Ltd",India,J29
Turbo Power,India,B29
Vacman Sanitation Solutions Pvt. Ltd.,India,H19
Wiska India,India,G41
Ray Enterprises,India,B28
Lourenco Marine,India,K10
Vijai Marine Shipyard,India,D10
Marks Marine Radio Pvt Ltd,India,D30
Vanson Engineering Pvt Ltd,India,J10
ABB India Limited,India,H10
SSI Solutions India Pvt. Ltd.,India,C18
Goltens India Private Limited,India,B20
India Futuristic Marine Pvt. Ltd.,India,G29
Georg Schünemann GmbH,Germany,E40
West Coast Marine Yacht Services Pvt Ltd,India,A49
Tritech,India,A29
Marine Marketing Services,India,A50
Dempo Shipbuilding & Engineering Pvt Ltd,India,H40
Michell Bearings (I) LLP,India,A16
Shri Venkatesh Filaments Pvt. Ltd.,India,A23
Dalwin Marine Turbo Engg. Pvt. Ltd,India,H29
Saifee Ship Spare Parts & Chandlers LLC,UAE,G40
Electro Communication & Controls,India,A10
Oilmax Systems Pvt. Ltd.,India,A19
Dolphin Consultants,India,C19
Reintjes Middle East LLC,India,C39
Volvo India Pvt. Ltd. (Volvo Penta),India,H50
KNH Engineering Co.,India,K30
Rhine Exports Pvt. Ltd.,India,A69
Navicom Technology International Pvt. Ltd.,India,B30
Pacitech Chemical Engg Pvt. Ltd.,India,G48
Swift Marine Tech Services,India,F59
Sunflex Metal Industries,India,G49
Man Diesel & Turbo India Private Limited,India,H20
C.S. Diesel Engg. Pvt. Ltd.,India,B38
Desmi India LLP,India,F38
TEHO Ropes,Netherlands,G30
Italdraghe S.p.A.,Italy,B39
Parmar Brothers,India,B19
Vulkan Technologies Pvt. Ltd.,India,K29
Guma Tech Marine Services,India,B50
SL Metals Pte Ltd,Singapore,D39
NETZSCH Pumps & Systems - India,India,F39
Chowgule Company Pvt. Ltd.,India,G10
Arico Marine Consultants Pvt. Ltd.,India,D50
Aeromarine Pvt. Ltd.,India,A27
